combination_method,total_log_likelihood,mean_log_likelihood,std_log_likelihood,n_datasets
msblender,-81260.49135905007,-16252.098271810013,838.3767149005615,5
voting,-82027.17264935981,-16405.434529871964,619.2896551280948,5
geometric_mean,-100006.73570940248,-20001.347141880495,393.1001964034398,5
